casenumber,location,reported_date,month,year,offense_desc,statute_code,statute_desc,counts,reporting_officer,unique_id,violent_cat,property_cat
2023-00099976,100 Block THOMAS OLNEY COMMONS / ONLEY ST,2023-12-07T10:52:31.000,12,2023,Stolen Vehicle\Recovered,Not Used,No Violations,0,JAbatiello,2023-00099976-001,None,None
2023-00502720,0 Block WASHINGTON,2023-12-07T09:08:27.000,12,2023,"Larceny, Other",11-41-1,LARCENY/U $1500 - ALL OTH LARCENY,1,NField,2023-00502720-001,None,Larceny-theft
2023-00099814,PROVIDENCE,2023-12-06T17:41:00.000,12,2023,"Larceny, Other",11-41-7,LARCENY FROM THE PERSON - ALL OTH LARCENY,1,Central Station,2023-00099814-001,None,Larceny-theft
2023-00099800,HARTFORD AVE,2023-12-06T17:13:00.000,12,2023,Reckless and Eluding,Not Used,No Violations,0,SNoti,2023-00099800-001,None,None
2023-00502716,J PARTINGTON WAY,2023-12-06T15:09:22.000,12,2023,"Fraud, Swindle",11-49.1-3,IDENTITY FRAUD - FALSE PRETENSE,1,NField,2023-00502716-001,None,None
2023-00099660,100 Block OAKLAND AVE,2023-12-06T06:45:15.000,12,2023,Burglary,11-8-2.2,B&E OF DWELLING WHEN RESIDENT HOME,1,JLanier,2023-00099660-001,None,Burglary
2023-00099634,FULTON ST &  EXCHANGE ST,2023-12-06T01:31:46.000,12,2023,Auto Towed,Not Used,Parking or MV Violation,0,JGuiot,2023-00099634-001,None,None
2023-00502710,100 Block GASPEE AVE,2023-12-05T18:36:28.000,12,2023,"Larceny, Other",11-41-1,LARCENY/U $1500 - ALL OTH LARCENY,1,NField,2023-00502710-001,None,Larceny-theft
2023-00099543,ADMIRAL ST,2023-12-05T17:31:00.000,12,2023,Larceny from Motor Vehicle,11-41-1,LARCENY/O $1500 - FROM MV,1,Central Station,2023-00099543-001,None,Larceny-theft
2023-00099421,0 Block KELLEY ST,2023-12-05T09:32:00.000,12,2023,Assistance Rendered,Not Used,No Violations,0,SIm,2023-00099421-001,None,None
2023-00502701,1800 Block WESTMINSTER,2023-12-04T15:24:37.000,12,2023,"Larceny, Other",11-41-1,LARCENY/U $1500 - ALL OTH LARCENY,1,NField,2023-00502701-001,None,Larceny-theft
2023-00099093,100 Block OAKLAND AVE,2023-12-04T02:18:00.000,12,2023,Suspicious Person,Not Used,No Violations,0,DPalumbo,2023-00099093-001,None,None
2023-00099068,MESSER ST,2023-12-04T00:30:56.000,12,2023,Disturbance,Not Used,No Violations,0,ILiriano,2023-00099068-001,None,None
2023-00502695,0 Block KING,2023-12-03T11:41:07.000,12,2023,"Larceny, Other",11-41-1,LARCENY/U $1500 - OTH LAR,1,NField,2023-00502695-001,None,Larceny-theft
2023-00098765,EXCHANGE TER &  FRANCIS ST,2023-12-02T22:06:38.000,12,2023,Disturbance,Not Used,No Violations,0,GGenao,2023-00098765-001,None,None
2023-00098722,ATWELLS AVE &  MESSENGER ST,2023-12-02T19:13:03.000,12,2023,Disturbance,Not Used,No Violations,0,VWilcox,2023-00098722-001,None,None
2023-00098355,JOHN J PARTINGTON WAY &  WASHINGTON ST,2023-12-01T15:33:00.000,12,2023,Warrant\Capias,BWARRANT-6D,BENCH WARRANT ISSUED FROM 6TH DISTRICT COURT,2,JMota,2023-00098355-001,None,None
2023-00098282,0 Block LONGFELLOW TER,2023-12-01T10:48:58.000,12,2023,Stolen Vehicle\Recovered,Not Used,No Violations,0,JAbatiello,2023-00098282-001,None,None
2023-00502683,0 Block ANDREWS ST,2023-12-01T09:49:16.000,12,2023,Vandalism,11-44-1,VANDALISM/MALICIOUS INJURY TO PROPERTY,1,NField,2023-00502683-001,None,None
2023-00502677,1500 Block SMITH ST,2023-11-30T19:12:04.000,11,2023,"Fraud, Swindle",11-49.1-3,IDENTITY FRAUD - FALSE PRETENSE,1,NField,2023-00502677-001,None,None
2023-00098082,ELMWOOD AVE,2023-11-30T15:53:00.000,11,2023,RI Statute Violation,36-M,DAMAGED VEHICLE,1,Central Station,2023-00098082-001,None,None
2023-00502674,0 Block LOCKWOOD ST,2023-11-30T15:11:48.000,11,2023,Vandalism,11-44-1,VANDALISM/MALICIOUS INJURY TO PROPERTY,1,NField,2023-00502674-001,None,None
2023-00502673,200 Block VERMONT ST,2023-11-30T12:17:16.000,11,2023,"Larceny, Other",11-41-1,LARCENY/U $1500 - OTH LAR,1,NField,2023-00502673-001,None,Larceny-theft
2023-00097864,600 Block MT. PLEASANT AVE. AVE,2023-11-29T18:58:50.000,11,2023,Larceny from Building,11-41-1,LARCENY/U $1500 - FROM BLD,1,ABrodeur,2023-00097864-001,None,Larceny-theft
2023-00097839,100 Block OAKLAND AVE,2023-11-29T17:44:00.000,11,2023,Request for Assistance,Not Used,No violations,0,Central Station,2023-00097839-001,None,None
2023-00502660,W EXCHANGE ST,2023-11-29T09:34:16.000,11,2023,Vandalism,11-44-1,VANDALISM/MALICIOUS INJURY TO PROPERTY,1,NField,2023-00502660-001,None,None
2023-00502659,WEST EXCHANGE ST,2023-11-29T08:53:18.000,11,2023,Vandalism,11-44-1,VANDALISM/MALICIOUS INJURY TO PROPERTY,1,NField,2023-00502659-001,None,None
2023-00502658,W EXCHANGE ST,2023-11-28T22:35:11.000,11,2023,Larceny from Motor Vehicle,11-41-1,LARCENY/U $1500 - FROM MV,1,NField,2023-00502658-001,None,Larceny-theft
2023-00502656,W EXCHANGE ST,2023-11-28T22:24:11.000,11,2023,Vandalism,11-44-1,VANDALISM/MALICIOUS INJURY TO PROPERTY,1,NField,2023-00502656-001,None,None
2023-00502655,WEST EXCHANGE ST,2023-11-28T21:34:25.000,11,2023,Vandalism,11-44-1,VANDALISM/MALICIOUS INJURY TO PROPERTY,1,NField,2023-00502655-001,None,None
2023-00097543,OCEAN ST,2023-11-28T15:11:00.000,11,2023,Property Damage,Not Used,No violations,0,Central Station,2023-00097543-001,None,None
2023-00502651,0 Block WOODMAN'ST ST,2023-11-28T13:34:37.000,11,2023,"Larceny, Other",11-41-1,LARCENY/U $1500 - OTH LAR,1,NField,2023-00502651-001,None,Larceny-theft
2023-00097373,0 Block RANDALL ST,2023-11-27T19:33:00.000,11,2023,Request for Assistance,Not Used,No Violations,0,ALima,2023-00097373-001,None,None
