casenumber,location,reported_date,month,year,offense_desc,statute_code,statute_desc,counts,reporting_officer,latitude,longitude
2023-00047799,0 Block LEANDER ST,2023-06-21T00:14:00.000,6,2023,Stolen Vehicle\Recovered,Not Used,No Violations,0,AIn,,
2023-00501437,0 Block COURTLAND ST,2023-06-20T18:45:13.000,6,2023,Larceny from Motor Vehicle,11-41-1,LARCENY/U $1500 - FROM MV,1,NField,,
2023-00047597,0 Block RADCLIFFE ST,2023-06-20T10:53:21.000,6,2023,Burglary,11-8-1.1,ATTEMPTED BREAKING AND ENTERING,1,EPedchenko,,
2023-00047419,100 Block VANDEWATER ST,2023-06-19T16:46:00.000,6,2023,Fraud,Not Used,"Under Investigation, Offense Pending",0,RFernandes,,
2023-00047007,0 Block RANDALL ST,2023-06-18T10:52:43.000,6,2023,Alarm-Business,Not Used,No violations,0,MRudolph,,
2023-00501407,0 Block WARREN WAY,2023-06-18T03:57:48.000,6,2023,Vandalism,11-44-1,VANDALISM/MALICIOUS INJURY TO PROPERTY,1,MTroia,,
2023-00046661,0 Block PLEASANT VALLEY PKY,2023-06-17T05:48:55.000,6,2023,Suspicious Person,Not Used,No Violations,0,IBarbosa,,
2023-00046124,200 Block REGENT ST. ST,2023-06-15T17:45:39.000,6,2023,Request for Assistance,Not Used,No Violations,0,CHines,,
2023-00046069,0 Block VANDEWATER ST,2023-06-15T14:39:00.000,6,2023,Request for Assistance,Not Used,No Violations,0,RFernandes,,
2023-00046011,500 Block BROADWAY,2023-06-15T10:12:00.000,6,2023,Malicious Mischief,Not Used,No Violations,0,DSepe,,
2023-00045892,200 Block BROADWAY,2023-06-14T20:29:00.000,6,2023,"Larceny, Other",11-41-1,LARCENY/O $1500 - ALL OTH LARCENY,1,Central Station,,
2023-00045841,0 Block LEANDER ST,2023-06-14T17:17:00.000,6,2023,Request for Assistance,Not Used,No violations,0,Central Station,,
2023-00045799,0 Block COURTLAND ST,2023-06-14T15:21:22.000,6,2023,Assistance Rendered,Not Used,No violations,0,GSans-Souci,,
2023-00045702,0 Block RANDALL ST,2023-06-14T07:44:44.000,6,2023,"Assault, Simple",11-5-3,SIMPLE ASSAULT/BATTERY,1,JMadeira,,
2023-00045477,300 Block BROADWAY,2023-06-13T13:26:25.000,6,2023,Vandalism,11-44-1,VANDALISM/MALICIOUS INJURY TO PROPERTY,1,LFernandez,,
2023-00045317,0 Block KENEDY PL,2023-06-12T20:16:43.000,6,2023,"Assault, Simple",11-5-3,SIMPLE ASSAULT OR BATTERY,1,CMain,,
2023-00045273,0 Block CITIZEN PL,2023-06-12T18:12:57.000,6,2023,"Assault, Simple",11-5-3,SIMPLE ASSAULT OR BATTERY,1,SCerullo,,
2023-00045273,0 Block CITIZEN PL,2023-06-12T18:12:57.000,6,2023,Larceny from Building,11-41-1,LARCENY/U $1500 - FROM BLD,1,SCerullo,,
2023-00045175,0 Block WHITING AVE,2023-06-12T09:58:55.000,6,2023,"Larceny, Other",11-41-1,LARCENY/U $1500 - ALL OTH LARCENY,1,TGomes,,
2023-00044584,0 Block PARK W,2023-06-10T18:27:10.000,6,2023,Fraud,Not Used,"Under Investigation, Offense Pending",0,GGenao,,
2023-00044260,0 Block PROVICENCE PL,2023-06-09T18:40:53.000,6,2023,Vandalism,11-44-21,FALSE FIRE/POLICE ALARM W/INTENT & VANDALIZING - DESTRUCT/VAND,2,CMain,,
2023-00043967,0 Block MASSIE ST,2023-06-08T19:42:00.000,6,2023,Weapons,11-47-8-A,LICENSE OR PERMIT REQUIRED FOR CARRYING PISTOL,1,TZincone,,
2023-00043665,500 Block BROADWAY,2023-06-07T15:35:00.000,6,2023,Tresspassing,11-44-26,WILLFUL TRESPASS,1,VLopez,,
2023-00043635,100 Block SARATOGA ST,2023-06-07T13:49:51.000,6,2023,Vandalism,11-44-1,VANDALISM/MALICIOUS INJURY TO PROP,1,WPognon,,
2023-00043362,0 Block RANDALL ST,2023-06-06T12:30:03.000,6,2023,Larceny from Motor Vehicle,11-41-1,LARCENY/O $1500 - FROM MV,1,MRudolph,,
2023-00043099,200 Block ONEIL ST,2023-06-05T14:09:00.000,6,2023,"Fraud, Swindle",11-49.1-3,IDENTITY FRAUD - FALSE PRETENSE,1,Central Station,,
2023-00042644,100 Block SABIN ST,2023-06-03T22:58:00.000,6,2023,"Assault, Simple",11-5-3,SIMPLE ASSAULT/BATTERY,1,JLeroux,,
2023-00042597,1500 Block CHALKSTON AVE AVE,2023-06-03T18:54:24.000,6,2023,Vandalism,11-44-1,VANDALISM/MALICIOUS INJURY TO PROPERTY,1,NULL,,
2023-00042596,0 Block CANDACE ST,2023-06-03T18:53:00.000,6,2023,"Fraud, Swindle",11-49.1-3,IDENTITY FRAUD - FALSE PRETENSE,1,Central Station,,
2023-00042337,0 Block RANDALL ST,2023-06-02T21:50:18.000,6,2023,Request for Assistance,Not Used,No Violations,0,SKawejsza,,
2023-00501301,100 Block OAKLAND AVE,2023-06-02T19:53:27.000,6,2023,Larceny from Motor Vehicle,11-41-1,LARCENY/U $1500 - FROM MV,1,NField,,
2023-00501295,0 Block ASHBURTON,2023-06-02T06:33:35.000,6,2023,Vandalism,11-44-1,VANDALISM/MALICIOUS INJURY TO PROPERTY,1,NField,,
2023-00041921,PROVIDENCE,2023-06-01T16:48:00.000,6,2023,Request for Assistance,Not Used,No violations,0,Central Station,,
2023-00041842,200 Block PROMANEDE,2023-06-01T13:14:46.000,6,2023,"Assault, Simple",11-5-3,SIMPLE ASSAULT/BATTERY-3RD OFFENSE,1,EPedchenko,,
2023-00043657,500 Block BROADWAY,2023-06-01T12:04:00.000,6,2023,Tresspassing,11-44-26,WILLFUL TRESPASS,1,VLopez,,
2023-00041803,200 Block CHAD BROWN,2023-06-01T10:37:00.000,6,2023,"Fraud, Swindle",11-49.1-3,IDENTITY FRAUD - FALSE PRETENSE,1,Central Station,,
2023-00041735,0 Block PLEASANT VALLEY PKY,2023-06-01T00:56:48.000,6,2023,"Assault, Simple",11-5-3,SIMPLE ASSAULT OR BATTERY,1,GSans-Souci,,
2023-00501291,0 Block BOWLET ST,2023-05-31T20:40:24.000,5,2023,"Larceny, Other",11-41-1,LARCENY/U $1500 - OTH LAR,1,NField,,
2023-00041618,PROVIDENCE,2023-05-31T16:34:00.000,5,2023,"Fraud, Swindle",11-49.1-3,IDENTITY FRAUD - FALSE PRETENSE,1,Central Station,,
