casenumber,location,reported_date,month,year,offense_desc,statute_code,statute_desc,counts,reporting_officer,latitude,longitude
2023-00502456,0 Block N CORLISS,2023-10-30T06:07:02.000,10,2023,"Fraud, Swindle",11-49.1-3,IDENTITY FRAUD - FALSE PRETENSE,1,NField,,
2023-00502452,100 Block REEDSDALE RD,2023-10-29T19:15:44.000,10,2023,Larceny from Motor Vehicle,11-41-1,LARCENY/U $1500 - FROM MV,1,NField,,
2023-00089286,0 Block COURTLAND ST,2023-10-29T17:13:00.000,10,2023,Vandalism,11-44-1,VANDALISM/MALICIOUS INJURY TO PROPERTY,1,DWilson,,
2023-00089244,0 Block DESOSTO ST. ST,2023-10-29T14:07:05.000,10,2023,"Assault, Simple",11-5-3,SIMPLE ASSAULT OR BATTERY,1,ABrodeur,,
2023-00089168,100 Block SABIN ST,2023-10-29T06:46:10.000,10,2023,Disorderly Conduct,11-45-1,DISORDERLY CONDUCT,1,CFernandez,,
2023-00089140,0 Block PLEASANT VALLEY,2023-10-29T03:38:42.000,10,2023,"Assault, Simple",11-5-3,SIMPLE ASSAULT OR BATTERY,1,DPalumbo,,
2023-00088955,100 Block CLEVELAND ST,2023-10-28T20:46:00.000,10,2023,Suspicious Person,Not Used,No Violations,0,MPetteruto,,
2023-00502434,0 Block W CANAL ST,2023-10-27T23:59:21.000,10,2023,Vandalism,11-44-1,VANDALISM/MALICIOUS INJURY TO PROPERTY,1,NField,,
2023-00502432,POCCASETT,2023-10-27T23:27:30.000,10,2023,"Larceny, Other",11-41-1,LARCENY/U $1500 - ALL OTH LARCENY,1,NField,,
2023-00502430,0 Block SUSAN AVE,2023-10-27T22:58:52.000,10,2023,Vandalism,11-44-1,VANDALISM/MALICIOUS INJURY TO PROPERTY,1,NField,,
2023-00502419,UNIÓN ELERY,2023-10-27T20:31:42.000,10,2023,"Larceny, Other",11-41-1,LARCENY/U $1500 - ALL OTH LARCENY,1,NField,,
2023-00088086,0 Block RICOM WAY,2023-10-26T11:07:44.000,10,2023,Breaking and Entering,Not Used,No violations,0,SSesay,,
2023-00087970,0 Block STANDISH AVE,2023-10-25T21:11:00.000,10,2023,RI Statute Violation,11-59-3,VIOLATION OF RESTRAINING ORDER,1,Central Station,,
2023-00502395,ASHBURN ST,2023-10-24T23:16:01.000,10,2023,Vandalism,11-44-1,VANDALISM/MALICIOUS INJURY TO PROPERTY,1,NField,,
2023-00087530,200 Block O'CONNELL ST,2023-10-24T10:41:01.000,10,2023,Request for Assistance,Not Used,No Violations,0,RSanchez,,
2023-00502385,0 Block CAPITOL HILL RD,2023-10-23T12:16:49.000,10,2023,Vandalism,11-44-1,VANDALISM/MALICIOUS INJURY TO PROPERTY,1,NField,,
2023-00502380,0 Block THOMAS  ONLEY COMMON,2023-10-22T19:45:45.000,10,2023,Larceny from Motor Vehicle,11-41-1,LARCENY/U $1500 - FROM MV,1,NField,,
2023-00086968,0 Block ROGER WILLIAMS GREEN,2023-10-22T10:53:43.000,10,2023,Motor Vehicle Theft,11-41-1,LARCENY/O $1500 - AUTO THE,1,TGomes,,
2023-00086011,300 Block OCONNOR ST,2023-10-19T11:39:00.000,10,2023,Larceny - Theft,Not Used,"Under Investigation, Offense Pending",0,KRosado,,
2023-00085825,0 Block BOWLET ST,2023-10-18T17:19:00.000,10,2023,Auto Towed,Not Used,Parking or MV Violation,0,MPetteruto,,
2023-00085700,0 Block CROYLAND RD,2023-10-18T10:32:44.000,10,2023,Burglary,11-8-2,B&E DWELLING HOUSE W/O CONSENT,1,RSanchez,,
2023-00085544,300 Block BROADWAY,2023-10-17T19:34:00.000,10,2023,Robbery,11-39-1,ROBBERY-1ST DEGREE,1,NAyala,,
2023-00085318,0 Block CHARLESFIED ST,2023-10-17T02:39:35.000,10,2023,Larceny from Motor Vehicle,11-41-1,LARCENY/U $1500 - FROM MV,1,JIkuejamofo,,
2023-00502327,100 Block WASHIGHTON ST,2023-10-16T13:38:31.000,10,2023,Vandalism,11-44-1,VANDALISM/MALICIOUS INJURY TO PROPERTY,1,MTroia,,
2023-00502326,100 Block UNION,2023-10-16T13:13:31.000,10,2023,Vandalism,11-44-1,VANDALISM/MALICIOUS INJURY TO PROPERTY,1,MTroia,,
2023-00502324,0 Block OAKLAND AVE,2023-10-16T11:24:11.000,10,2023,"Fraud, Credit Card",11-49-4,FRAUDULENT USE OF CREDIT CARDS,1,MTroia,,
2023-00084949,0 Block NICHOLAS BROWN YARDS,2023-10-15T17:47:59.000,10,2023,Motor Vehicle Theft,11-41-1,LARCENY/O $1500 - AUTO THEFT,1,LGarcia Colon,,
2023-00502305,0 Block BROADWAY ST,2023-10-15T09:42:54.000,10,2023,Vandalism,11-44-1,VANDALISM/MALICIOUS INJURY TO PROPERTY,1,MTroia,,
2023-00084816,0 Block OAKLAND AVE,2023-10-15T04:13:00.000,10,2023,Receiving Stolen Property,31-9-2,Possession of Stolen Vehicle or Parts,1,AWagoner,,
2023-00084771,0 Block LONGFELLOW TER,2023-10-15T01:44:00.000,10,2023,"Assault, Simple",11-5-3,SIMPLE ASSAULT/BATTERY,1,AFrancis,,
2023-00502310,300 Block CANAL ST,2023-10-14T23:19:49.000,10,2023,Vandalism,11-44-1,VANDALISM/MALICIOUS INJURY TO PROPERTY,1,MTroia,,
2023-00084687,300 Block BROADWAY,2023-10-14T21:21:00.000,10,2023,Robbery,11-39-1,ROBBERY-1ST DEGREE,1,NAyala,,
2023-00502297,1200 Block SMITH,2023-10-14T09:28:13.000,10,2023,Vandalism,11-44-1,VANDALISM/MALICIOUS INJURY TO PROPERTY,1,MTroia,,
2023-00502296,0 Block THOMAS AVE,2023-10-13T21:58:50.000,10,2023,Larceny from Motor Vehicle,11-41-1,LARCENY/U $1500 - FROM MV,1,MTroia,,
2023-00502311,100 Block BENEFIT,2023-10-13T10:57:32.000,10,2023,Larceny from Motor Vehicle,11-41-1,LARCENY/U $1500 - FROM MV,1,MTroia,,
2023-00502291,300 Block BROADWAY,2023-10-13T07:27:31.000,10,2023,Vandalism,11-44-1,VANDALISM/MALICIOUS INJURY TO PROPERTY,1,MTroia,,
2023-00502290,0 Block CARR,2023-10-12T22:35:04.000,10,2023,"Larceny, Other",11-41-1,LARCENY/U $1500 - ALL OTH LARCENY,1,NField,,
2023-00083882,8000 Block CHALKSTONE AVENUE,2023-10-12T09:46:00.000,10,2023,"Assault, Simple",11-5-3,SIMPLE ASSAULT OR BATTERY,1,Central Station,,
2023-00083839,0 Block RICOM WAY,2023-10-12T06:30:00.000,10,2023,Suspicious Person,Not Used,No Violations,0,DSepe,,
2023-00502279,100 Block WASHINGON ST,2023-10-11T12:31:44.000,10,2023,Larceny from Motor Vehicle,11-41-1,LARCENY/U $1500 - FROM MV,1,NField,,
2023-00083094,300 Block BROADWAY,2023-10-09T16:45:00.000,10,2023,Motor Vehicle Theft,11-41-1,LARCENY/O $1500 - AUTO THEFT,1,Central Station,,
2023-00083046,0 Block CRANDALL ST,2023-10-09T13:18:20.000,10,2023,Traffic Violation,31-9-3,Injuring or Tampering with Vehicles,1,VWilcox,,
