casenumber,location,reported_date,month,year,offense_desc,statute_code,statute_desc,counts,reporting_officer,unique_id,latitude,longitude,source,violent_cat,property_cat
2024-00000446,0 Block DOYLE AVE,2024-01-02T17:56:00.000,1,2024,"Assault, Aggravated",11-5-2,FELONY ASSAULT/ DANG. WEAPON OR SUBSTANCE,1,PHourahan,2024-00000446-001,41.83857482900007,-71.40659557499995,E911,Aggravated Assault,None
2024-00000439,100 Block BEAUFORT ST,2024-01-02T17:41:49.000,1,2024,RI Statute Violation,11-32-2,FALSE REPORT OF CRIME,1,SCerullo,2024-00000439-001,41.830168411000045,-71.45018522899997,E911,None,None
2024-00000439,100 Block BEAUFORT ST,2024-01-02T17:41:49.000,1,2024,Traffic Violation,31-27-4,"Reckless Driving, Drag Racing - Attempting to Elude",1,SCerullo,2024-00000439-002,41.830168411000045,-71.45018522899997,E911,None,None
2024-00000426,0 Block RANGELEY AVE,2024-01-02T17:04:00.000,1,2024,Property Damage,Not Used,No violations,0,Central Station,2024-00000426-001,41.82656192100004,-71.44523699649997,E911,None,None
2024-00000412,0 Block KENNEDY PLZ,2024-01-02T16:13:00.000,1,2024,"Assault, Simple",11-5-3,SIMPLE ASSAULT OR BATTERY,1,CSimanski,2024-00000412-001,41.82467416900005,-71.41238447799995,E911,None,None
2024-00500014,100 Block INDIANA AVE,2024-01-02T15:02:24.000,1,2024,"Larceny, Other",11-41-1,LARCENY/U $1500 - OTH LAR,1,NField,2024-00500014-001,41.79052874400003,-71.39615956949996,E911,None,Larceny-theft
2024-00000373,0 Block BATH ST,2024-01-02T14:21:00.000,1,2024,"Fraud, Swindle",11-49.1-3,IDENTITY FRAUD - FALSE PRETENSE,1,Central Station,2024-00000373-001,41.831502974000045,-71.42473246349996,E911,None,None
2024-00000368,300 Block CRANSTON ST,2024-01-02T14:09:00.000,1,2024,Fraud,Not Used,"Under Investigation, Offense Pending",0,EEspinal,2024-00000368-001,41.81237458350006,-71.43015105099997,E911,None,None
2024-00000362,100 Block WINDMILL ST,2024-01-02T13:53:00.000,1,2024,Request for Assistance,Not Used,No Violations,0,Central Station,2024-00000362-001,41.857991516000055,-71.41801258299995,E911,None,None
2024-00500012,0 Block E GEORGE ST,2024-01-02T13:21:47.000,1,2024,"Larceny, Other",11-41-1,LARCENY/U $1500 - ALL OTH LARCENY,1,NField,2024-00500012-001,41.82563053450005,-71.39166271199994,E911,None,Larceny-theft
2024-00000340,100 Block FLORENCE ST,2024-01-02T12:12:00.000,1,2024,Burglary,11-8-1,BURGLARY,1,MAddai,2024-00000340-001,41.823491134500046,-71.44545333449997,E911,None,Burglary
2024-00000337,700 Block WESTMINSTER ST,2024-01-02T11:43:00.000,1,2024,RI Statute Violation,11-32-1,OBSTRUCTING OFFICER IN EXECUTION OF DUTY,1,VLopez,2024-00000337-001,41.81810416000005,-71.42039248699999,E911,None,None
2024-00000337,700 Block WESTMINSTER ST,2024-01-02T11:43:00.000,1,2024,Traffic Violation,31-9-1,Driving Without Consent of Owner,1,VLopez,2024-00000337-002,41.81810416000005,-71.42039248699999,E911,None,None
2024-00000334,200 Block RIVER AVE,2024-01-02T11:29:00.000,1,2024,"Assault, Simple",11-5-3,SIMPLE ASSAULT OR BATTERY,1,CHines,2024-00000334-001,41.83474554600005,-71.43902605799997,E911,None,None
2024-00000331,0 Block RIVERDALE ST,2024-01-02T11:12:39.000,1,2024,Motor Vehicle Theft,11-41-1,LARCENY/U $1500 - AUTO THEFT,1,EPedchenko,2024-00000331-001,41.82581450400005,-71.46030804299997,E911,None,Motor Vehicle Theft
2024-00000322,0 Block MARLBOROUGH AVE,2024-01-02T10:39:00.000,1,2024,Request for Assistance,Not Used,No Violations,0,SCorley,2024-00000322-001,41.80611536950005,-71.41870030149997,E911,None,None
2024-00000323,0 Block ALGONQUIN ST,2024-01-02T10:38:00.000,1,2024,Property Damage,Not Used,No Violations,0,PCaminero,2024-00000323-001,41.793102401000056,-71.42865381599995,E911,None,None
2024-00000313,0 Block HARRIET ST,2024-01-02T09:56:00.000,1,2024,"Fraud, Swindle",11-49.1-3,IDENTITY FRAUD - FALSE PRETENSE,1,Central Station,2024-00000313-001,41.80267258950005,-71.41294057699994,E911,None,None
2024-00000314,0 Block ADMIRAL ST,2024-01-02T09:28:00.000,1,2024,"Larceny, Other",11-41-1,LARCENY/O $1500 - ALL OTH LARCENY,1,RCarlin,2024-00000314-001,41.84090342750005,-71.41964824549996,E911,None,Larceny-theft
2024-00500011,100 Block CHESTNUT ST,2024-01-02T09:17:16.000,1,2024,"Larceny, Other",11-41-1,LARCENY/U $1500 - ALL OTH LARCENY,1,NField,2024-00500011-001,41.81821625950008,-71.41049147099994,E911,None,Larceny-theft
2024-00000308,0 Block RUGGLES ST,2024-01-02T09:16:03.000,1,2024,Motor Vehicle Theft,11-41-1,LARCENY/U $1500 - AUTO THEFT,1,JLanier,2024-00000308-001,41.83620768600005,-71.42808170849995,E911,None,Motor Vehicle Theft
2024-00000306,600 Block ATWELLS AVE,2024-01-02T09:10:12.000,1,2024,Malicious Mischief,Not Used,No Violations,0,JGuiot,2024-00000306-001,41.82474809050004,-71.43887606249996,E911,None,None
2024-00500008,200 Block GOVERNOR ST,2024-01-01T18:24:18.000,1,2024,Larceny from Motor Vehicle,11-41-1,LARCENY/U $1500 - FROM MV,1,NField,2024-00500008-001,41.82843822300006,-71.39401840499997,E911,None,Larceny-theft
2024-00000180,0 Block BODELL AVE,2024-01-01T15:24:00.000,1,2024,Request for Assistance,Not Used,No Violations,0,SNoti,2024-00000180-001,41.81744571450005,-71.45287587699997,E911,None,None
2024-00500004,0 Block ELMA ST,2024-01-01T04:11:36.000,1,2024,Vandalism,11-44-1,VANDALISM/MALICIOUS INJURY TO PROPERTY,1,NField,2024-00500004-001,41.79723012750003,-71.41230955799995,E911,None,None
2024-00500005,100 Block CHESTNUT AVE,2024-01-01T09:29:47.000,1,2024,Vandalism,11-44-1,VANDALISM/MALICIOUS INJURY TO PROPERTY,1,NField,2024-00500005-001,41.81821625950008,-71.41049147099994,E911,None,None
