casenumber,location,reported_date,month,year,offense_desc,statute_code,statute_desc,counts,reporting_officer,unique_id,latitude,longitude,source,violent_cat,property_cat
2023-00101039,POE ST &  OXFORD ST,2023-12-11T01:08:00.000,12,2023,Drug Offenses,21-28-4.01-C1A,POSSESSION OF SCHEDULE I II III,1,MPetteruto,2023-00101039-001,41.80375289739411,-71.40319061684643,RIDOT,None,None
2023-00101015,0 Block ROCKINGHAM ST,2023-12-10T22:19:46.000,12,2023,Request for Assistance,Not Used,No Violations,0,TCargill,2023-00101015-001,41.82632675950006,-71.44424308799998,E911,None,None
2023-00101012,BROAD ST &  GLENHAM ST,2023-12-10T21:31:37.000,12,2023,Auto Towed,Not Used,Parking or MV Violation,0,HViruet,2023-00101012-001,41.80508041399886,-71.41957093616342,RIDOT,None,None
2023-00101005,CHARLES ST &  BRANCH AVE,2023-12-10T20:37:00.000,12,2023,Warrant\Capias,BWARRANT-SC,BENCH WARRANT ISSUED FROM SUPERIOR COURT,1,MRoman,2023-00101005-001,41.85026168144561,-71.4199752843889,RIDOT,None,None
2023-00502747,100 Block PEMBROKE AVE,2023-12-10T19:23:31.000,12,2023,Larceny from Motor Vehicle,11-41-1,LARCENY/U $1500 - FROM MV,1,NField,2023-00502747-001,41.84002863950005,-71.42963292499996,E911,None,Larceny-theft
2023-00100982,0 Block KENWOOD ST,2023-12-10T19:10:00.000,12,2023,Request for Assistance,Not Used,No Violations,0,ESoloman,2023-00100982-001,41.809144426000046,-71.43483742899994,E911,None,None
2023-00100973,800 Block ELMWOOD AVE,2023-12-10T18:29:00.000,12,2023,Motor Vehicle Theft,11-41-1,LARCENY/O $1500 - AUTO THEFT,1,WSherrill,2023-00100973-001,41.78931030000007,-71.42132106899996,E911,None,Motor Vehicle Theft
2023-00100948,1100 Block ELMWOOD AVE,2023-12-10T15:49:33.000,12,2023,Burglary,11-8-2.2,B&E OF DWELLING WHEN RESIDENT HOME,1,JCotugno,2023-00100948-001,41.781492298000074,-71.41863930099996,E911,None,Burglary
2023-00100945,100 Block W CLIFFORD ST,2023-12-10T15:47:00.000,12,2023,Disorderly Conduct,11-45-1,DISORDERLY CONDUCT,1,Central Station,2023-00100945-001,41.81156681500005,-71.41841806899996,E911,None,None
2023-00100949,0 Block JULIAN ST,2023-12-10T14:26:00.000,12,2023,"Larceny,Shoplifting",Not Used,"Under Investigation, Offense Pending",0,DWilson,2023-00100949-001,41.82102912450006,-71.44558286049997,E911,None,Larceny-theft
2023-00100922,0 Block FAIRFIELD AVE,2023-12-10T13:52:00.000,12,2023,"Larceny, Other",11-41-1,LARCENY/O $1500 - ALL OTH LARCENY,1,Central Station,2023-00100922-001,41.824421742000055,-71.45764983249998,E911,None,Larceny-theft
2023-00100921,100 Block LAURA ST,2023-12-10T13:43:00.000,12,2023,Assistance Rendered,Not Used,No Violations,0,DSepe,2023-00100921-001,41.80076234550006,-71.42323566999994,E911,None,None
2023-00100904,0 Block APPLETON ST,2023-12-10T11:52:00.000,12,2023,Shots Fired,Not Used,No Violations,0,DRosso,2023-00100904-001,41.81998934900005,-71.44394305799997,E911,None,None
2023-00100896,0 Block VIOLA ST,2023-12-10T11:01:00.000,12,2023,Request for Assistance,Not Used,No Violations,0,MAddai,2023-00100896-001,41.81275965900005,-71.45230198149997,E911,None,None
2023-00100888,200 Block OXFORD ST,2023-12-10T10:24:17.000,12,2023,Vandalism,11-44-1,VANDALISM/MALICIOUS INJURY TO PROPERTY,1,WPognon,2023-00100888-001,41.80129049300007,-71.41374592449995,E911,None,None
2023-00100886,600 Block UNION AVE,2023-12-10T10:05:00.000,12,2023,Request for Assistance,Not Used,No Violations,0,MAddai,2023-00100886-001,41.80779513050007,-71.46010426749996,E911,None,None
2023-00100874,BROAD ST &  SUMTER ST,2023-12-10T07:36:43.000,12,2023,Auto Towed,Not Used,Parking or MV Violation,0,WPognon,2023-00100874-001,41.79774474381908,-71.41411590793616,RIDOT,None,None
2023-00100837,HAROLD ST &  AURORA ST,2023-12-10T02:23:41.000,12,2023,Vandalism,11-44-1,VANDALISM/MALICIOUS INJURY TO PROPERTY,1,SSesay,2023-00100837-001,41.827590942007994,-71.43792725350455,RIDOT,None,None
2023-00100836,HAROLD ST &  AURORA ST,2023-12-10T02:22:02.000,12,2023,Vandalism,11-44-1,VANDALISM/MALICIOUS INJURY TO PROPERTY,1,SSesay,2023-00100836-001,41.827590942007994,-71.43792725350455,RIDOT,None,None
2023-00100834,0 Block WASHINGTON ST,2023-12-10T02:18:00.000,12,2023,Disorderly Conduct,11-45-1,DISORDERLY CONDUCT,1,GGenao,2023-00100834-001,41.823515016000044,-71.41391062449998,E911,None,None
